Angle,Range
-3.0892326831817627,0.0
-3.0775063037872314,0.0
3.0821423530578613,7.26800012588501
3.0949597358703613,7.223999977111816
3.1080496311187744,7.185999870300293
3.1208667755126953,6.959000110626221
3.1342296600341797,6.849999904632568
-3.0000572204589844,0.0
-2.9872400760650635,0.0
-2.9741501808166504,0.0
-2.9613327980041504,0.0
-2.9482429027557373,0.0
-3.065234422683716,2.2730000019073486
-3.052417278289795,2.239000082015991
-3.0390543937683105,2.2109999656677246
-3.026510000228882,2.2239999771118164
-3.0134198665618896,2.260999917984009
-3.000875473022461,2.2850000858306885
-2.8579766750335693,0.0
-2.844886541366577,0.0
-2.8320693969726562,0.0
-2.954242467880249,5.129000186920166
-2.941152334213257,5.050000190734863
-2.9280624389648438,4.98199987411499
-2.915245294570923,4.90500020980835
-2.902427911758423,4.835000038146973
-2.8893380165100098,4.809000015258789
-2.8762481212615967,4.738999843597412
-2.8631579875946045,4.695000171661377
-2.8503408432006836,4.632999897003174
-2.8375234603881836,4.576000213623047
-2.8244335651397705,4.519000053405762
-2.8113436698913574,4.4679999351501465
-2.7982535362243652,4.415999889373779
-2.7854363918304443,4.370999813079834
-2.7726190090179443,4.315999984741211
-2.7595291137695312,4.270999908447266
-2.746439218521118,4.241000175476074
-2.733349084854126,4.195000171661377
-2.720531940460205,4.145999908447266
-2.707442045211792,4.111999988555908
-2.6940791606903076,4.078000068664551
-2.6809892654418945,4.034999847412109
-2.6681721210479736,3.99399995803833
-2.6553547382354736,3.9709999561309814
-2.6425375938415527,3.943000078201294
-2.6297202110290527,3.9100000858306885
-2.616903066635132,3.872999906539917
-2.604085683822632,3.8519999980926514
-2.5907230377197266,3.822999954223633
-2.5779058933258057,3.7929999828338623
-2.5650885105133057,3.7639999389648438
-2.5522713661193848,3.744999885559082
-2.5394539833068848,3.7249999046325684
-2.526636838912964,3.700000047683716
-2.513819456100464,3.674999952316284
-2.500729560852051,3.6540000438690186
-2.4876394271850586,3.632999897003174
-2.4748222827911377,3.611999988555908
-2.4620048999786377,3.562000036239624
-2.449187755584717,3.5480000972747803
-2.436370372772217,3.5350000858306885
-2.423553228378296,3.5179998874664307
-2.410736083984375,3.503999948501587
-2.397645950317383,3.49399995803833
-2.3845560550689697,3.4779999256134033
-2.3717386722564697,3.4660000801086426
-2.358921527862549,3.4519999027252197
-2.346104145050049,3.438999891281128
-2.333287000656128,3.424999952316284
-2.320469617843628,3.4130001068115234
-2.307652473449707,3.4010000228881836
-2.294835090637207,3.3949999809265137
-2.281745195388794,3.381999969482422
-2.268927812576294,3.378999948501587
-2.256110906600952,3.365999937057495
-2.243293523788452,3.3610000610351562
-2.230476140975952,3.3540000915527344
-2.217658758163452,3.3540000915527344
-2.204569101333618,3.3469998836517334
-2.191478967666626,3.3420000076293945
-2.1778438091278076,3.3380000591278076
-2.1650264263153076,3.3329999446868896
-2.1522090435028076,3.3310000896453857
-2.1393916606903076,3.3329999446868896
-2.126574754714966,3.3299999237060547
-2.113757371902466,3.3269999027252197
-2.100939989089966,3.3259999752044678
-2.088122606277466,3.3239998817443848
-2.075305700302124,3.319999933242798
-2.062488317489624,3.319999933242798
-2.049398183822632,3.319999933242798
-2.036580801010132,3.3239998817443848
-2.02376389503479,3.3269999027252197
-2.01094651222229,3.3289999961853027
-1.9981292486190796,3.3320000171661377
-1.9853118658065796,3.3329999446868896
-1.9724949598312378,3.3350000381469727
-1.9596775770187378,3.3350000381469727
-1.9468601942062378,3.3450000286102295
-1.9340428113937378,3.3469998836517334
-1.9209531545639038,3.3489999771118164
-1.908408522605896,3.3589999675750732
-1.895591139793396,3.36899995803833
-1.882773756980896,3.3959999084472656
-1.869684100151062,3.3310000896453857
-1.8571394681930542,3.4089999198913574
-1.844049334526062,3.2750000953674316
-1.8306869268417358,3.0869998931884766
-1.8175967931747437,2.928999900817871
-1.6727889776229858,0.0
-1.6596993207931519,0.0
-1.777781367301941,2.552999973297119
-1.764691710472107,2.453000068664551
-1.7516015768051147,2.3510000705718994
-1.7382386922836304,2.26200008392334
-1.7251490354537964,2.181999921798706
-1.7120589017868042,2.1029999256134033
-1.698696494102478,2.0380001068115234
-1.6856063604354858,1.9730000495910645
-1.6722434759140015,1.9140000343322754
-1.658335566520691,1.8550000190734863
-1.6449726819992065,1.8029999732971191
-1.6318830251693726,1.753000020980835
-1.6187928915023804,1.7039999961853027
-1.6057027578353882,1.659000039100647
-1.592340350151062,1.6180000305175781
-1.5792502164840698,1.5789999961853027
-1.5661605596542358,1.5410000085830688
-1.5530704259872437,1.50600004196167
-1.5399802923202515,1.4730000495910645
-1.526345133781433,1.440000057220459
-1.513255000114441,1.409999966621399
-1.5001648664474487,1.3819999694824219
-1.4870752096176147,1.3550000190734863
-1.4739850759506226,1.3270000219345093
-1.4608954191207886,1.3029999732971191
-1.4475325345993042,1.2790000438690186
-1.434442400932312,1.2549999952316284
-1.421352744102478,1.2350000143051147
-1.4082626104354858,1.2139999866485596
