Angle,Range
3.125230073928833,0.296999990940094
3.137774705886841,0.3009999990463257
-3.1336841583251953,0.30399999022483826
-3.1214122772216797,0.3070000112056732
-3.1096858978271484,0.3109999895095825
-3.097414016723633,0.3140000104904175
-3.0856873989105225,0.3179999887943268
-3.073688268661499,0.32100000977516174
-3.0616891384124756,0.32499998807907104
-3.0499627590179443,0.33000001311302185
-3.037963628768921,0.3330000042915344
-3.0259644985198975,0.33799999952316284
-3.013965368270874,0.34200000762939453
-3.0019662380218506,0.34700000286102295
-2.989967107772827,0.35100001096725464
-2.978240728378296,0.35600000619888306
-2.9662415981292725,0.3610000014305115
-2.954242467880249,0.3659999966621399
-2.9422433376312256,0.3709999918937683
-2.9305167198181152,0.37599998712539673
-2.918517589569092,0.38199999928474426
-2.9065184593200684,0.3880000114440918
-2.894792079925537,0.39399999380111694
-2.883065700531006,0.4000000059604645
-2.8710665702819824,0.40700000524520874
-2.859067440032959,0.4129999876022339
-2.8470683097839355,0.41999998688697815
-2.835069179534912,0.4269999861717224
-2.823342800140381,0.4339999854564667
-2.8113436698913574,0.44200000166893005
-2.799617052078247,0.44999998807907104
-2.7873454093933105,0.4569999873638153
-2.7758915424346924,0.4659999907016754
-2.763892412185669,0.4740000069141388
-2.7518932819366455,0.4830000102519989
-2.73962140083313,0.4909999966621399
-2.631629228591919,0.0
-2.618811845779419,0.0
-2.605994701385498,0.0
-2.593177318572998,0.0
-2.580360174179077,0.0
-2.5683610439300537,0.0
-2.689443349838257,3.8320000171661377
-2.676625967025757,3.806999921798706
-2.663808822631836,3.7660000324249268
-2.650991439819336,3.7260000705718994
-2.638174295425415,3.7100000381469727
-2.625356912612915,3.687999963760376
-2.612267017364502,3.6630001068115234
-2.599722385406494,3.63700008392334
-2.5869052410125732,3.617000102996826
-2.5740878582000732,3.6019999980926514
-2.5612707138061523,3.5889999866485596
-2.5484533309936523,3.566999912261963
-2.4022819995880127,0.0
-2.389464855194092,0.0
-2.5001840591430664,1.3489999771118164
-2.4873669147491455,1.3320000171661377
-2.351285696029663,0.0
-2.338468313217163,0.0
-2.325651168823242,0.0
-2.41591739654541,0.5929999947547913
-2.3000166416168213,0.0
-2.2871994972229004,0.0
-2.2743823528289795,0.0
-2.2618377208709717,0.0
-2.2490203380584717,0.0
-2.2362029552459717,0.0
-2.2233855724334717,0.0
-2.21056866645813,0.0
-2.19775128364563,0.0
-2.18493390083313,0.0
-2.17211651802063,0.0
-2.1595723628997803,0.0
-2.1467549800872803,0.0
-2.2667462825775146,3.3340001106262207
-2.2539288997650146,3.3289999961853027
-2.241111993789673,3.3299999237060547
-2.228294610977173,3.3269999027252197
-2.215477228164673,3.325000047683716
-2.202659845352173,3.322999954223633
-2.1909334659576416,3.322999954223633
-2.178388833999634,3.321000099182129
-2.165571928024292,3.322000026702881
-2.153027296066284,3.319000005722046
-2.140209913253784,3.315999984741211
-2.127392530441284,3.322999954223633
-2.1148478984832764,3.322999954223633
-2.1020309925079346,3.3329999446868896
-2.0894863605499268,3.260999917984009
-2.0766689777374268,3.24399995803833
-2.0633065700531006,3.072000026702881
-1.9184988737106323,0.0
-1.9056814908981323,0.0
-1.8928641080856323,0.0
-1.8803194761276245,0.0
-1.995402216911316,1.8730000257492065
-1.9820398092269897,1.7380000352859497
-1.968131422996521,1.6160000562667847
-1.9544962644577026,1.5140000581741333
-1.9411333799362183,1.4229999780654907
-1.9274982213974,1.347000002861023
-1.9138625860214233,1.2740000486373901
-1.900227427482605,1.2100000381469727
-1.7657822370529175,0.0
-1.7532376050949097,0.0
-1.8593209981918335,1.0499999523162842
-1.8456858396530151,1.0069999694824219
-1.8323229551315308,0.9679999947547913
-1.8186877965927124,0.9319999814033508
-1.8050521612167358,0.8989999890327454
-1.7914170026779175,0.8679999709129333
-1.777781367301941,0.8389999866485596
-1.7644189596176147,0.8119999766349792
-1.7507833242416382,0.7879999876022339
-1.737420916557312,0.7639999985694885
-1.7237852811813354,0.7429999709129333
-1.710150122642517,0.7229999899864197
-1.6967872381210327,0.703000009059906
-1.6831520795822144,0.6840000152587891
-1.6695164442062378,0.6669999957084656
-1.655335783958435,0.6510000228881836
-1.6419728994369507,0.6359999775886536
-1.6283377408981323,0.6209999918937683
-1.614974856376648,0.6079999804496765
-1.6016124486923218,0.5950000286102295
-1.5879768133163452,0.5830000042915344
-1.574614405632019,0.5720000267028809
-1.5609787702560425,0.5600000023841858
-1.5476163625717163,0.5490000247955322
-1.534253478050232,0.5389999747276306
-1.5206183195114136,0.5289999842643738
-1.5072554349899292,0.5199999809265137
-1.493893027305603,0.5109999775886536
-1.4802573919296265,0.503000020980835
-1.4671672582626343,0.4950000047683716
-1.453532099723816,0.4869999885559082
-1.4401692152023315,0.4790000021457672
-1.4268068075180054,0.47200000286102295
-1.413443922996521,0.4659999907016754
-1.4000815153121948,0.45899999141693115
-1.3867186307907104,0.453000009059906
-1.3733562231063843,0.44699999690055847
-1.3599933385849,0.4410000145435333
-1.3466304540634155,0.4359999895095825
-1.3335407972335815,0.4309999942779541
-1.3201779127120972,0.4259999990463257
-1.306815505027771,0.42100000381469727
-1.2934526205062866,0.41600000858306885
-1.2800902128219604,0.41100001335144043
-1.2670000791549683,0.40700000524520874
-1.2536371946334839,0.40299999713897705
-1.2402747869491577,0.39899998903274536
-1.2274574041366577,0.3959999978542328
-1.2140945196151733,0.3919999897480011
-1.2007321119308472,0.3880000114440918
-1.187641978263855,0.38499999046325684
-1.1742795705795288,0.38199999928474426
-1.1614621877670288,0.3790000081062317
-1.1480993032455444,0.37599998712539673
