Angle,Range
3.0532352924346924,6.688000202178955
3.0665979385375977,6.538000106811523
3.0794153213500977,6.40500020980835
3.0925052165985107,6.26800012588501
3.105595350265503,6.142000198364258
3.118412494659424,6.014999866485596
3.131502389907837,5.908999919891357
-3.1385927200317383,5.784999847412109
-3.1257755756378174,5.684999942779541
-3.1126856803894043,5.581999778747559
-3.0998682975769043,5.491000175476074
-3.086505651473999,5.400000095367432
-3.073688268661499,5.309999942779541
-3.060871124267578,5.2270002365112305
-3.047781229019165,5.150000095367432
-3.034963846206665,5.104000091552734
-3.0216012001037598,5.0370001792907715
-3.008784055709839,4.951000213623047
-2.995966672897339,4.894999980926514
-2.982876777648926,4.833000183105469
-2.9697866439819336,4.764999866485596
-2.9566967487335205,4.696000099182129
-2.9438796043395996,4.553999900817871
-2.9307894706726074,4.577000141143799
-2.9179723262786865,4.534999847412109
-2.9048821926116943,4.484000205993652
-2.8917922973632812,4.420000076293945
-2.8789751529693604,4.38100004196167
-2.865885019302368,4.331999778747559
-2.8530678749084473,4.2829999923706055
-2.839977979660034,4.243000030517578
-2.826887845993042,4.203000068664551
-2.814070701599121,4.150000095367432
-2.800980567932129,4.11899995803833
-2.788163423538208,4.089000225067139
-2.775346040725708,4.050000190734863
-2.7619833946228027,4.011000156402588
-2.749166250228882,3.9769999980926514
-2.7360763549804688,3.9489998817443848
-2.7232589721679688,3.9119999408721924
-2.7101690769195557,3.880000114440918
-2.6968064308166504,3.8489999771118164
-2.683716297149658,3.8299999237060547
-2.6708991527557373,3.806999921798706
-2.6580817699432373,3.7339999675750732
-2.6452646255493164,3.7320001125335693
-2.6324472427368164,3.7039999961853027
-2.6196300983428955,3.686000108718872
-2.6065402030944824,3.6600000858306885
-2.5937228202819824,3.634000062942505
-2.5809056758880615,3.615000009536743
-2.5680882930755615,3.5959999561309814
-2.5552711486816406,3.5810000896453857
-2.5424537658691406,3.566999912261963
-2.396282434463501,0.0
-2.5067291259765625,1.3370000123977661
-2.4939117431640625,1.343999981880188
-2.4810945987701416,1.3339999914169312
-2.4680044651031494,1.3079999685287476
-2.4549145698547363,1.2940000295639038
-2.4420974254608154,1.2929999828338623
-2.4292800426483154,1.2920000553131104
-2.2937443256378174,0.0
-2.2809269428253174,0.0
-2.401191234588623,3.4110000133514404
-2.388373851776123,3.4030001163482666
-2.375556707382202,3.3889999389648438
-2.2296578884124756,0.0
-2.338468313217163,1.218000054359436
-2.3259239196777344,1.2319999933242798
